Initialised
Listening to port 4567
Connected!!!
CTE: , 0.4063 , Next Steering Value: -0.05846
42["steer",{"steering_angle":-0.05846,"throttle":0.2}]
CTE: , 0.3974 , Next Steering Value: -0.06168
42["steer",{"steering_angle":-0.06168,"throttle":0.2}]
CTE: , 0.3853 , Next Steering Value: -0.05286
42["steer",{"steering_angle":-0.05286,"throttle":0.2}]
CTE: , 0.3691 , Next Steering Value: -0.04142
42["steer",{"steering_angle":-0.04142,"throttle":0.2}]
CTE: , 0.3591 , Next Steering Value: -0.05182
42["steer",{"steering_angle":-0.05182,"throttle":0.2}]
CTE: , 0.3457 , Next Steering Value: -0.04234
42["steer",{"steering_angle":-0.0423400000000001,"throttle":0.2}]
CTE: , 0.3317 , Next Steering Value: -0.03834
42["steer",{"steering_angle":-0.03834,"throttle":0.2}]
CTE: , 0.3173 , Next Steering Value: -0.03466
42["steer",{"steering_angle":-0.0346600000000001,"throttle":0.2}]
CTE: , 0.3026 , Next Steering Value: -0.03112
42["steer",{"steering_angle":-0.0311199999999999,"throttle":0.2}]
CTE: , 0.2877 , Next Steering Value: -0.02774
42["steer",{"steering_angle":-0.0277400000000001,"throttle":0.2}]
CTE: , 0.2763 , Next Steering Value: -0.03246
42["steer",{"steering_angle":-0.03246,"throttle":0.2}]
CTE: , 0.2611 , Next Steering Value: -0.02182
42["steer",{"steering_angle":-0.02182,"throttle":0.2}]
CTE: , 0.2494 , Next Steering Value: -0.02648
42["steer",{"steering_angle":-0.02648,"throttle":0.2}]
CTE: , 0.2298 , Next Steering Value: -0.00676
42["steer",{"steering_angle":-0.00675999999999999,"throttle":0.2}]
CTE: , 0.2139 , Next Steering Value: -0.01098
42["steer",{"steering_angle":-0.01098,"throttle":0.2}]
CTE: , 0.2021 , Next Steering Value: -0.01682
42["steer",{"steering_angle":-0.01682,"throttle":0.2}]
CTE: , 0.1828 , Next Steering Value: 0.00204
42["steer",{"steering_angle":0.00204000000000002,"throttle":0.2}]
CTE: , 0.171 , Next Steering Value: -0.0106
42["steer",{"steering_angle":-0.0106,"throttle":0.2}]
CTE: , 0.1559 , Next Steering Value: -0.00098
42["steer",{"steering_angle":-0.000979999999999998,"throttle":0.2}]
CTE: , 0.1407 , Next Steering Value: 0.00226
42["steer",{"steering_angle":0.00226000000000004,"throttle":0.2}]
CTE: , 0.1257 , Next Steering Value: 0.00486
42["steer",{"steering_angle":0.00485999999999997,"throttle":0.2}]
CTE: , 0.1147 , Next Steering Value: -0.00094
42["steer",{"steering_angle":-0.000939999999999983,"throttle":0.2}]
CTE: , 0.1005 , Next Steering Value: 0.0083
42["steer",{"steering_angle":0.00829999999999998,"throttle":0.2}]
CTE: , 0.0864 , Next Steering Value: 0.01092
42["steer",{"steering_angle":0.01092,"throttle":0.2}]
CTE: , 0.0727 , Next Steering Value: 0.01286
42["steer",{"steering_angle":0.01286,"throttle":0.2}]
CTE: , 0.0597 , Next Steering Value: 0.01406
42["steer",{"steering_angle":0.01406,"throttle":0.2}]
CTE: , 0.0504 , Next Steering Value: 0.00852
42["steer",{"steering_angle":0.00852,"throttle":0.2}]
CTE: , 0.0386 , Next Steering Value: 0.01588
42["steer",{"steering_angle":0.01588,"throttle":0.2}]
CTE: , 0.0271 , Next Steering Value: 0.01758
42["steer",{"steering_angle":0.01758,"throttle":0.2}]
CTE: , 0.0189 , Next Steering Value: 0.01262
42["steer",{"steering_angle":0.01262,"throttle":0.2}]
CTE: , 0.0087 , Next Steering Value: 0.01866
42["steer",{"steering_angle":0.01866,"throttle":0.2}]
CTE: , -0.0009 , Next Steering Value: 0.01938
42["steer",{"steering_angle":0.01938,"throttle":0.2}]
CTE: , -0.0097 , Next Steering Value: 0.01954
42["steer",{"steering_angle":0.01954,"throttle":0.2}]
CTE: , -0.0158 , Next Steering Value: 0.01536
42["steer",{"steering_angle":0.01536,"throttle":0.2}]
CTE: , -0.023 , Next Steering Value: 0.019
42["steer",{"steering_angle":0.019,"throttle":0.2}]
CTE: , -0.0297 , Next Steering Value: 0.01934
42["steer",{"steering_angle":0.01934,"throttle":0.2}]
CTE: , -0.0355 , Next Steering Value: 0.0187
42["steer",{"steering_angle":0.0187,"throttle":0.2}]
CTE: , -0.0403 , Next Steering Value: 0.01766
42["steer",{"steering_angle":0.01766,"throttle":0.2}]
CTE: , -0.0444 , Next Steering Value: 0.01708
42["steer",{"steering_angle":0.01708,"throttle":0.2}]
CTE: , -0.0467 , Next Steering Value: 0.01394
42["steer",{"steering_angle":0.01394,"throttle":0.2}]
CTE: , -0.0493 , Next Steering Value: 0.01506
42["steer",{"steering_angle":0.01506,"throttle":0.2}]
CTE: , -0.0511 , Next Steering Value: 0.01382
42["steer",{"steering_angle":0.01382,"throttle":0.2}]
CTE: , -0.0522 , Next Steering Value: 0.01264
42["steer",{"steering_angle":0.01264,"throttle":0.2}]
CTE: , -0.0524 , Next Steering Value: 0.01088
42["steer",{"steering_angle":0.01088,"throttle":0.2}]
CTE: , -0.0518 , Next Steering Value: 0.00916
42["steer",{"steering_angle":0.00915999999999999,"throttle":0.2}]
CTE: , -0.0503 , Next Steering Value: 0.00706
42["steer",{"steering_angle":0.00706,"throttle":0.2}]
CTE: , -0.0481 , Next Steering Value: 0.00522
42["steer",{"steering_angle":0.00522,"throttle":0.2}]
CTE: , -0.0453 , Next Steering Value: 0.00346
42["steer",{"steering_angle":0.00346000000000001,"throttle":0.2}]
CTE: , -0.0421 , Next Steering Value: 0.00202
42["steer",{"steering_angle":0.00202,"throttle":0.2}]
CTE: , -0.0385 , Next Steering Value: 0.0005
42["steer",{"steering_angle":0.000500000000000002,"throttle":0.2}]
CTE: , -0.0343 , Next Steering Value: -0.00154
42["steer",{"steering_angle":-0.00154,"throttle":0.2}]
CTE: , -0.0309 , Next Steering Value: -0.00062
42["steer",{"steering_angle":-0.000619999999999993,"throttle":0.2}]
CTE: , -0.026 , Next Steering Value: -0.0046
42["steer",{"steering_angle":-0.0046,"throttle":0.2}]
CTE: , -0.0203 , Next Steering Value: -0.00734
42["steer",{"steering_angle":-0.00734,"throttle":0.2}]
CTE: , -0.0104 , Next Steering Value: -0.01772
42["steer",{"steering_angle":-0.01772,"throttle":0.2}]
CTE: , 0.0064 , Next Steering Value: -0.03488
42["steer",{"steering_angle":-0.03488,"throttle":0.2}]
CTE: , 0.0246 , Next Steering Value: -0.04132
42["steer",{"steering_angle":-0.04132,"throttle":0.2}]
CTE: , 0.0481 , Next Steering Value: -0.05662
42["steer",{"steering_angle":-0.05662,"throttle":0.2}]
CTE: , 0.0745 , Next Steering Value: -0.0677
42["steer",{"steering_angle":-0.0677,"throttle":0.2}]
CTE: , 0.0995 , Next Steering Value: -0.0699
42["steer",{"steering_angle":-0.0699,"throttle":0.2}]
CTE: , 0.1225 , Next Steering Value: -0.0705
42["steer",{"steering_angle":-0.0705,"throttle":0.2}]
CTE: , 0.1432 , Next Steering Value: -0.07004
42["steer",{"steering_angle":-0.07004,"throttle":0.2}]
CTE: , 0.1622 , Next Steering Value: -0.07044
42["steer",{"steering_angle":-0.07044,"throttle":0.2}]
CTE: , 0.1792 , Next Steering Value: -0.06984
42["steer",{"steering_angle":-0.06984,"throttle":0.2}]
CTE: , 0.1944 , Next Steering Value: -0.06928
42["steer",{"steering_angle":-0.06928,"throttle":0.2}]
CTE: , 0.2079 , Next Steering Value: -0.06858
42["steer",{"steering_angle":-0.06858,"throttle":0.2}]
CTE: , 0.2195 , Next Steering Value: -0.0671
42["steer",{"steering_angle":-0.0671,"throttle":0.2}]
CTE: , 0.2314 , Next Steering Value: -0.07008
42["steer",{"steering_angle":-0.07008,"throttle":0.2}]
CTE: , 0.2388 , Next Steering Value: -0.06256
42["steer",{"steering_angle":-0.06256,"throttle":0.2}]
CTE: , 0.2443 , Next Steering Value: -0.05986
42["steer",{"steering_angle":-0.05986,"throttle":0.2}]
CTE: , 0.2472 , Next Steering Value: -0.05524
42["steer",{"steering_angle":-0.05524,"throttle":0.2}]
CTE: , 0.25 , Next Steering Value: -0.0556
42["steer",{"steering_angle":-0.0556,"throttle":0.2}]
CTE: , 0.2516 , Next Steering Value: -0.05352
42["steer",{"steering_angle":-0.05352,"throttle":0.2}]
CTE: , 0.2516 , Next Steering Value: -0.05032
42["steer",{"steering_angle":-0.05032,"throttle":0.2}]
CTE: , 0.2497 , Next Steering Value: -0.04614
42["steer",{"steering_angle":-0.04614,"throttle":0.2}]
CTE: , 0.2468 , Next Steering Value: -0.04356
42["steer",{"steering_angle":-0.04356,"throttle":0.2}]
CTE: , 0.2439 , Next Steering Value: -0.04298
42["steer",{"steering_angle":-0.04298,"throttle":0.2}]
CTE: , 0.2392 , Next Steering Value: -0.03844
42["steer",{"steering_angle":-0.03844,"throttle":0.2}]
CTE: , 0.2335 , Next Steering Value: -0.0353
42["steer",{"steering_angle":-0.0353,"throttle":0.2}]
CTE: , 0.2269 , Next Steering Value: -0.03218
42["steer",{"steering_angle":-0.03218,"throttle":0.2}]
CTE: , 0.2198 , Next Steering Value: -0.02976
42["steer",{"steering_angle":-0.02976,"throttle":0.2}]
CTE: , 0.212 , Next Steering Value: -0.0268
42["steer",{"steering_angle":-0.0268,"throttle":0.2}]
CTE: , 0.2059 , Next Steering Value: -0.02898
42["steer",{"steering_angle":-0.02898,"throttle":0.2}]
CTE: , 0.1975 , Next Steering Value: -0.0227
42["steer",{"steering_angle":-0.0227,"throttle":0.2}]
CTE: , 0.1886 , Next Steering Value: -0.01992
42["steer",{"steering_angle":-0.01992,"throttle":0.2}]
CTE: , 0.1795 , Next Steering Value: -0.0177
42["steer",{"steering_angle":-0.0177,"throttle":0.2}]
CTE: , 0.1704 , Next Steering Value: -0.01588
42["steer",{"steering_angle":-0.01588,"throttle":0.2}]
CTE: , 0.1613 , Next Steering Value: -0.01406
42["steer",{"steering_angle":-0.01406,"throttle":0.2}]
CTE: , 0.1524 , Next Steering Value: -0.01268
42["steer",{"steering_angle":-0.01268,"throttle":0.2}]
CTE: , 0.1415 , Next Steering Value: -0.0065
42["steer",{"steering_angle":-0.00649999999999996,"throttle":0.2}]
CTE: , 0.133 , Next Steering Value: -0.0096
42["steer",{"steering_angle":-0.00960000000000004,"throttle":0.2}]
CTE: , 0.127 , Next Steering Value: -0.0134
42["steer",{"steering_angle":-0.0134,"throttle":0.2}]
CTE: , 0.1194 , Next Steering Value: -0.00868
42["steer",{"steering_angle":-0.00868000000000001,"throttle":0.2}]
CTE: , 0.112 , Next Steering Value: -0.0076
42["steer",{"steering_angle":-0.0076,"throttle":0.2}]
CTE: , 0.1033 , Next Steering Value: -0.00326
42["steer",{"steering_angle":-0.00326,"throttle":0.2}]
CTE: , 0.0968 , Next Steering Value: -0.00636
42["steer",{"steering_angle":-0.00635999999999999,"throttle":0.2}]
CTE: , 0.0913 , Next Steering Value: -0.00726
42["steer",{"steering_angle":-0.00726000000000002,"throttle":0.2}]
CTE: , 0.0941 , Next Steering Value: -0.02442
42["steer",{"steering_angle":-0.02442,"throttle":0.2}]
CTE: , 0.1033 , Next Steering Value: -0.03906
42["steer",{"steering_angle":-0.03906,"throttle":0.2}]
CTE: , 0.1197 , Next Steering Value: -0.05674
42["steer",{"steering_angle":-0.05674,"throttle":0.2}]
CTE: , 0.1413 , Next Steering Value: -0.07146
42["steer",{"steering_angle":-0.07146,"throttle":0.2}]
CTE: , 0.1606 , Next Steering Value: -0.07072
42["steer",{"steering_angle":-0.07072,"throttle":0.2}]
CTE: , 0.1802 , Next Steering Value: -0.07524
42["steer",{"steering_angle":-0.07524,"throttle":0.2}]
CTE: , 0.1924 , Next Steering Value: -0.06288
42["steer",{"steering_angle":-0.06288,"throttle":0.2}]
CTE: , 0.2063 , Next Steering Value: -0.06906
42["steer",{"steering_angle":-0.0690600000000001,"throttle":0.2}]
CTE: , 0.2105 , Next Steering Value: -0.0505
42["steer",{"steering_angle":-0.0505,"throttle":0.2}]
CTE: , 0.212 , Next Steering Value: -0.0454
42["steer",{"steering_angle":-0.0454,"throttle":0.2}]
CTE: , 0.2098 , Next Steering Value: -0.03756
